,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
0,01142500,0.6864471530521279,-0.11553657281193028,0.9806231751186562,0.219991073012352,0.4986499432102557,5.8870849609375,6.361113182646088,0,0,295,0,72,40,-2.443866293513395,-2.027262825406169
1,01170100,0.6851500462344341,-0.03598045040839217,0.9022245106742827,0.20544175803661346,0.4502249422862279,7.510037422180176,7.011285290785836,0,0,498,0,89,51,-2.646282715752259,-2.160280949245551
2,01413500,0.7133345661509563,0.06907167111352695,0.7310425820714629,0.15653905272483826,0.4894641289264088,6.261562347412109,5.730688536834743,0,0,608,0,89,50,-2.7720782105941026,-1.8981596728815324
3,01435000,0.6721988854001324,0.18598866205590142,0.6444829114818599,0.4256901144981384,0.5528764693502927,9.265854835510254,7.596690274482056,0,0,208,0,93,58,-2.0062320331226786,-2.00565096302478
4,01532000,0.5657969336879194,-0.09930607253804473,0.6023002198336709,0.04219678044319153,0.37426081813137885,4.6152729988098145,3.9490672573872647,0,0,842,0,215,45,-3.3940193248549493,-1.7527012158117297
5,01550000,0.6324294122398404,0.1693353861668671,0.5961175639964466,0.09286442399024963,0.34090462555117795,5.462613105773926,3.7640850232689327,0,0,772,0,118,42,-3.1891604044763158,-1.7801893068994323
6,01596500,0.6731487622818398,0.09220141686669579,0.5812951286472396,0.044268302619457245,0.29972620120149557,6.313045024871826,4.269480434202,0,0,1085,3,282,48,-4.153169793339006,-2.419961631458425
7,01606500,0.661929649076225,-0.06202602593841511,0.6785547372523447,0.11613297462463379,0.23147854001062831,4.195303440093994,3.707636139726715,0,0,393,85,145,39,-3.4188265674408176,-2.4266726223957384
8,02059500,0.6612832120768368,-0.21894904955229202,0.8348692835400678,0.10556209087371826,0.10244815208026914,2.2218306064605713,2.9113993581072175,0,0,207,363,99,91,-2.286985033085365,-2.687472062550794
9,02298608,0.6320890898085372,0.3994662713912277,0.539092590716908,0.014364487491548061,0.043320737901788406,5.171971559524532,2.863457945482542,64,0,897,447,698,318,-4.420045717791398,-3.2066089477554183
